Name,Rank,Value,SleeperId,Pos,Team
Sam Darnold,79,1565,4943,QB,SEA
Christian Watson,80,1529,8167,WR,GB
Kyler Murray,81,1493,5849,QB,MIN
Bhayshul Tuten,82,1458,12490,RB,JAX
C.J. Stroud,83,1425,9758,QB,HOU
Kenyon Sadiq,84,1391,13330,TE,NYJ
DJ Moore,85,1359,4983,WR,BUF
Jordan Addison,86,1328,9756,WR,MIN
Daniel Jones,87,1297,5870,QB,IND
Tyler Shough,88,1267,12545,QB,NO
D'Andre Swift,89,1237,6790,RB,CHI
Dalton Kincaid,90,1208,10236,TE,BUF
Alec Pierce,91,1180,8142,WR,IND
Parker Washington,92,1153,9487,WR,JAX
Michael Wilson,93,1126,10232,WR,ARI
Malik Willis,94,1100,8161,QB,MIA
Denzel Boston,95,1075,13346,WR,CLE
Ty Simpson,96,1050,13275,QB,LAR
Terry McLaurin,97,1025,5927,WR,WAS
Omar Cooper,98,1001,13276,WR,NYJ
Oronde Gadsden II,99,978,12493,TE,LAC
Derrick Henry,100,955,3198,RB,BAL
De'Zhaun Stribling,101,933,13417,WR,SF
Matthew Stafford,102,912,421,QB,LAR
Isaiah Likely,103,890,8131,TE,NYG
Jake Ferguson,104,870,8110,TE,DAL
Jonathon Brooks,105,849,11583,RB,CAR
Jayden Reed,106,830,10222,WR,GB
David Montgomery,107,810,5892,RB,HOU
Bryce Young,108,792,9228,QB,CAR
Wan'Dale Robinson,109,773,8126,WR,TEN
Davante Adams,110,755,2133,WR,LAR
Josh Downs,111,738,9500,WR,IND
Michael Pittman,112,721,6819,WR,PIT
DK Metcalf,113,704,5846,WR,PIT
Matthew Golden,114,688,12501,WR,GB
Eli Stowers,115,672,8128,TE,PHI
Jonah Coleman,116,656,13345,RB,DEN
Romeo Doubs,117,641,8121,WR,NE
George Kittle,118,626,4217,TE,SF
Josh Jacobs,119,611,5850,RB,GB
Quentin Johnston,120,597,9754,WR,LAC
RJ Harvey,121,583,12489,RB,DEN
Chris Godwin,122,570,4037,WR,TB
Kyle Monangai,123,556,12534,RB,CHI
Germie Bernard,124,544,13274,WR,PIT
Mark Andrews,125,531,5012,TE,BAL
Rico Dowdle,126,519,7021,RB,PIT
Antonio Williams,127,507,13301,WR,WAS
Courtland Sutton,128,495,5045,WR,DEN
Malachi Fields,129,483,13285,WR,NYG
Xavier Worthy,130,472,11624,WR,KC
MarShawn Lloyd,131,461,11581,RB,GB
J.K. Dobbins,132,450,6806,RB,DEN
Jaylen Warren,133,440,8228,RB,PIT
Ted Hurst,134,430,13317,WR,TB
Chris Bell,135,420,13311,WR,MIA
Jakobi Meyers,136,410,5947,WR,JAX
Jayden Higgins,137,400,12484,WR,HOU
Blake Corum,138,391,11586,RB,LAR
Rhamondre Stevenson,139,382,7611,RB,NE
Mike Evans,140,373,2216,WR,SF
Khalil Shakir,141,365,8134,WR,BUF
Ricky Pearsall,142,356,11638,WR,SF
Zach Charbonnet,143,348,9753,RB,SEA
Michael Penix,144,340,11559,QB,ATL
T.J. Hockenson,145,332,5844,TE,MIN
Ja'Kobi Lane,146,324,13293,WR,BAL
Chuba Hubbard,147,317,7594,RB,CAR
Travis Hunter,148,309,12530,WR,JAX
Jalen Coker,149,302,11646,WR,CAR
Dallas Goedert,150,295,5022,TE,PHI
Terrance Ferguson,151,288,12487,TE,LAR
Jordan Mason,152,282,8408,RB,MIN
Mike Washington,153,275,13305,RB,LV
Tony Pollard,154,269,5967,RB,TEN
Woody Marks,155,262,12474,RB,HOU
Tyjae Spears,156,256,9508,RB,TEN
Tyler Allgeier,157,250,8132,RB,ARI
Jacory Croskey-Merritt,158,244,12533,RB,WAS
Cyrus Allen,159,239,13413,WR,KC
Brenton Strange,160,233,9480,TE,JAX
Eli Raridon,161,228,13421,TE,NE
Rashid Shaheed,162,223,8676,WR,SEA
Nicholas Singleton,163,217,13288,RB,TEN
Kenneth Gainwell,164,212,7567,RB,TB
Tua Tagovailoa,165,207,6768,QB,ATL
Deebo Samuel,166,198,5872,WR,SF
Jauan Jennings,167,193,7049,WR,MIN
Travis Kelce,168,189,1466,TE,KC
Shedeur Sanders,169,184,12524,QB,CLE
Emmett Johnson,170,180,13337,RB,KC
Jerry Jeudy,171,176,6783,WR,CLE
Chigoziem Okonkwo,172,172,8210,TE,TEN
Rachaad White,173,168,8136,RB,WAS
Stefon Diggs,174,160,2449,WR,WAS
Caleb Douglas,175,156,13296,WR,MIA
Mason Taylor,176,153,12498,TE,NYJ
AJ Barner,177,149,11603,TE,SEA
Carson Beck,178,146,13272,QB,ARI
Chris Rodriguez,179,142,10219,RB,JAX
Kaelon Black,180,139,13414,RB,SF
J.J. McCarthy,181,136,11565,QB,MIN
Max Klare,182,133,13278,TE,LAR
Chris Brazzell,183,130,13353,WR,CAR
Jack Bech,184,127,12483,WR,LV
Gunnar Helm,185,124,12502,TE,TEN
Demond Claiborne,186,121,13347,RB,MIN
Juwan Johnson,187,118,7002,TE,NO
Dylan Sampson,188,115,12469,RB,CLE
Adonai Mitchell,189,113,11625,WR,NYJ
Tyrone Tracy,190,110,11655,RB,NYG
Hunter Henry,191,107,3214,TE,NE
Jacoby Brissett,192,105,3257,QB,ARI
Kaytron Allen,193,102,13405,RB,WAS
Skyler Bell,194,100,13402,WR,BUF
Oscar Delp,195,98,13319,TE,NO
Kayshon Boutte,196,93,9504,WR,HOU
Kaleb Johnson,197,91,12504,RB,GB
Elic Ayomanor,198,89,12499,WR,TEN
Zachariah Branch,199,87,13320,WR,ATL
Jalen Nailor,200,85,8180,WR,LV
Geno Smith,201,81,1373,QB,NYJ
Pat Bryant,202,79,12492,WR,DEN
Braelon Allen,203,77,11576,RB,NYJ
Elijah Sarratt,204,76,13268,WR,BAL
Dalton Schultz,205,74,5001,TE,HOU
Isaac TeSlaa,206,72,12535,WR,DET
Tre Harris,207,70,12509,WR,LAC
Keaton Mitchell,208,69,9511,RB,LAC
Drew Allar,209,67,13289,QB,PIT
Jaylin Noel,210,66,12536,WR,HOU
Aaron Jones,211,64,4199,RB,MIN
David Njoku,212,63,4033,TE,LAC
Tory Horton,213,61,11639,WR,SEA
Troy Franklin,214,60,11627,WR,DEN
Keon Coleman,215,58,11637,WR,BUF
Greg Dulcich,216,57,8172,TE,MIA
Dontayvion Wicks,217,56,9486,WR,PHI
Jalen McMillan,218,54,11618,WR,TB
Deshaun Watson,219,53,4017,QB,CLE
Tre Tucker,220,52,10213,WR,LV
Adam Randall,221,51,13302,RB,BAL
Malik Washington,222,49,11610,WR,MIA
Brian Robinson,223,48,8154,RB,ATL
Justin Joly,224,47,13400,TE,DEN
Mac Jones,225,46,7527,QB,SF
Tank Bigsby,226,45,9225,RB,PHI
Kyle Williams,227,44,12547,WR,NE
Kirk Cousins,228,43,1166,QB,LV
Isiah Pacheco,229,42,8205,RB,DET
Cade Otton,230,41,8111,TE,TB
Jaylen Wright,231,40,11643,RB,MIA
Pat Freiermuth,232,39,7600,TE,PIT
Alvin Kamara,233,38,4035,RB,NO
Aaron Rodgers,234,37,96,QB,PIT
Bryce Lance,235,36,13420,WR,NO
Elijah Arroyo,236,36,12521,TE,SEA
Kimani Vidal,237,35,11647,RB,LAC
Brenen Thompson,238,34,13380,WR,LAC
Tank Dell,239,33,9502,WR,HOU
Michael Mayer,240,32,9482,TE,LV
LeQuint Allen,241,32,12544,RB,JAX
Xavier Legette,242,31,11626,WR,CAR
Seth McGowan,243,30,13424,RB,IND
Kevin Coleman,244,29,13338,WR,MIA
Chimere Dike,245,29,12540,WR,TEN
Brashard Smith,246,28,12455,RB,KC
Cade Klubnik,247,27,13303,QB,NYJ
Theo Johnson,248,27,11597,TE,NYG
Colby Parkinson,249,26,6865,TE,LAR
George Holani,250,26,12048,RB,SEA
Ollie Gordon,251,25,12495,RB,MIA
Ray Davis,252,24,11575,RB,BUF
Devin Neal,253,24,12476,RB,NO
Jalen Royals,254,23,12505,WR,KC
Trey Benson,255,23,11589,RB,ARI
Jordan James,256,22,12467,RB,SF
Justin Fields,257,22,7591,QB,KC
Ryan Flournoy,258,21,11783,WR,DAL
Anthony Richardson,259,21,9229,QB,IND
Evan Engram,260,20,4066,TE,DEN
Darnell Mooney,261,20,7090,WR,NYG
Marvin Mims,262,19,9494,WR,DEN
Christian Kirk,263,19,4950,WR,SF
Isaiah Bond,264,18,12503,WR,CLE
Jack Endries,265,18,13282,TE,CIN
Dont'e Thornton,266,18,12541,WR,LV
Tez Johnson,267,17,12485,WR,TB
Zavion Thomas,268,17,13411,WR,CHI
Brandon Aiyuk,269,16,6803,WR,SF
Sean Tucker,270,16,9506,RB,TB
Jalen Milroe,271,16,12510,QB,SEA
DJ Giddens,272,15,12471,RB,IND
Darnell Washington,273,15,9479,TE,PIT
Rashod Bateman,274,15,7571,WR,BAL
Michael Trigg,275,14,13401,TE,DAL
Emanuel Wilson,276,14,11435,RB,SEA
Cole Kmet,277,14,6826,TE,CHI
Ja'Tavion Sanders,278,13,11600,TE,CAR
Jaydon Blue,279,13,12457,RB,PHI
Kendre Miller,280,13,9757,RB,NO
Cooper Kupp,281,12,4039,WR,SEA
Calvin Ridley,282,12,4981,WR,TEN
Will Howard,283,12,12511,QB,PIT
James Conner,284,12,4137,RB,ARI
Keenan Allen,285,11,1479,WR,IND
Demario Douglas,286,11,9501,WR,NE
Najee Harris,287,11,7528,RB,NYG
Tyreek Hill,288,10,3321,WR,MIA
Tanner Koziol,289,10,13408,TE,JAX
Mike Gesicki,290,10,4993,TE,CIN
Justice Hill,291,10,5995,RB,BAL
Jahan Dotson,292,10,8119,WR,ATL
Malik Davis,293,9,8800,RB,DAL
Isaiah Davis,294,9,11571,RB,NYJ
