name,value,rank
Darnell Washington,217,324
Savion Williams,216,325
Gardner Minshew,213,326
Jeff Caldwell,212,327
Devaughn Vele,207,328
Luke McCaffrey,206,329
Jaren Kanak,197,330
Will Levis,186,331
John Michael Gyllenborg,178,332
Andrei Iosivas,178,333
Treylon Burks,176,334
Cyrus Allen,175,335
Audric Estime,170,336
Noah Gray,166,337
Tyson Bagent,165,338
Jerome Ford,165,339
Malik Benson,162,340
Joe Fagnano,162,341
Luke Musgrave,160,342
Nate Boerkircher,155,343
Darius Slayton,155,344
Justice Hill,153,345
Trey Lance,149,346
Devin Singletary,147,347
Dawson Knox,146,348
Dillon Gabriel,145,349
Ja'Lynn Polk,139,350
KeAndre Lambert-Smith,132,351
Isaac Guerendo,130,352
Emari Demercado,127,353
Calvin Austin,115,354
Tanner McKee,111,355
Davis Mills,104,356
Mason Rudolph,101,357
Jimmy Horn,101,358
Kenny Pickett,97,359
Mack Hollins,94,360
Malik Davis,87,361
Jake Browning,85,362
Michael Carter,84,363
Roman Wilson,83,364
Noah Thomas,78,365
Samaje Perine,75,366
Tyler Huntley,73,367
Will Shipley,72,368
Zach Ertz,72,369
Phil Mafah,71,370
Cade Stover,71,371
Jonnu Smith,71,372
Erick All,69,373
Xavier Hutchinson,67,374
Efton Chism,62,375
Joshua Palmer,58,376
Tutu Atwell,55,377
Tommy Tremble,54,378
Jahdae Walker,47,379
Tyler Higbee,46,380
Chris Brooks,43,381
KaVontae Turpin,41,382
Konata Mumpfield,41,383
Austin Ekeler,41,384
Daniel Bellinger,40,385
Ty Johnson,40,386
Greg Dortch,37,387
Andy Dalton,34,388
Jaleel McLaughlin,31,389
George Holani,30,390
Jawhar Jordan,28,391
Devontez Walker,28,392
Nick Chubb,26,393
Mitchell Evans,17,394
Jacob Cowing,16,395
Mitchell Trubisky,13,396
Kareem Hunt,13,397
Zach Wilson,8,398
