name,rank,position,team,age,years_exp
Tuli Tuipulotu,335,DE13,LAC,23,3
Jessie Bates III,336,S10,ATL,29,8
David Bailey,338,DE14,NYJ,22,R
Josh Hines-Allen,341,DE15,JAX,28,7
Leonard Williams,342,DT8,SEA,31,11
Jordan Battle,343,S11,CIN,25,3
Laiatu Latu,347,DE16,IND,25,2
Zach Allen,348,DT9,DEN,28,7
Talanoa Hufanga,349,S12,DEN,26,5
Danielle Hunter,350,DE17,HOU,31,11
Julian Love,351,S13,SEA,28,7
Travis Hunter,354,CB1,JAX,23,1
Walter Nolen III,355,DT10,ARI,22,1
Derrick Harmon,357,DT11,PIT,22,1
Arvell Reese,360,LB28,NYG,20,R
Devon Witherspoon,361,CB2,SEA,25,3
Byron Young,362,DE18,LAR,28,3
Zach Sieler,363,DT12,MIA,30,8
Terrel Bernard,364,LB29,BUF,27,4
Andrew Van Ginkel,367,DE19,MIN,30,7
Calijah Kancey,369,DT13,TB,25,3
Tre'von Moehrig,370,S14,CAR,26,5
Jalon Walker,371,DE20,ATL,22,1
Malaki Starks,373,S15,BAL,22,1
Devin Bush,374,LB30,CHI,27,7
Ed Oliver,378,DT14,BUF,28,7
Nick Cross,379,S16,WAS,24,4
Barrett Carter,380,LB31,CIN,23,1
Trey Hendrickson,381,DE21,BAL,31,9
Josiah Trotter,382,LB32,TB,21,R
Rueben Bain Jr.,385,DE22,TB,21,R
DeMarvion Overshown,386,LB33,DAL,25,3
Robert Spillane,387,LB34,NE,30,8
Quincy Williams,389,LB35,CLE,29,7
Jeremy Chinn,391,S17,LV,28,6
Kamari Lassiter,392,CB3,HOU,23,2
Alex Highsmith,393,DE23,PIT,28,6
Jaquan Brisker,395,S18,PIT,27,4
Anthony Hill Jr.,396,LB36,TEN,21,R
Cooper DeJean,397,CB4,PHI,23,2
Chamarri Conner,398,S19,KC,25,3
Jordan Davis,400,DT15,PHI,26,4
Jaelan Phillips,401,DE24,CAR,26,5
Jacob Rodriguez,402,LB37,MIA,23,R
Eric Rivers Jr.,403,DE25,TB,23,R
Mike Sainristil,405,CB5,WAS,25,2
Kaden Elliss,406,LB38,NO,30,7
Demetrius Knight Jr.,408,LB39,CIN,25,1
Alex Singleton,411,LB40,DEN,32,11
Kool-Aid McKinstry,412,CB6,NO,23,2
Minkah Fitzpatrick,413,S20,NYJ,29,8
Tyrel Dodson,415,LB41,MIA,27,7
Dillon Thieneman,416,S21,CHI,21,R
Marlon Humphrey,417,CB7,BAL,29,9
Christian Gonzalez,418,CB8,NE,23,3
Paulson Adebo,419,CB9,NYG,26,5
Jake Golday,420,LB42,MIN,23,R
Jalen Pitre,422,S22,HOU,26,4
Drake Thomas,423,LB43,SEA,26,3
Danny Stutsman,424,LB44,NO,23,1
Alontae Taylor,425,CB10,TEN,27,4
Quentin Lake,426,S23,LAR,27,4
Jalen Thompson,427,S24,DAL,27,7
Xavier McKinney,428,S25,GB,27,6
Kenny Moore II,429,CB11,FA,30,9
Bobby Wagner,431,LB45,FA,35,14
Mike Jackson,433,CB12,CAR,29,7
Logan Wilson,434,LB46,FA,29,6
Cody Simon,435,LB47,ARI,24,1
Nate Wiggins,436,CB13,BAL,22,2
Jalen Ramsey,437,CB14,PIT,31,10
Bobby Okereke,438,LB48,FA,29,7
Xavier Watts,439,S26,ATL,24,1
Lavonte David,441,LB49,FA,36,14
Teddye Buchanan,443,LB50,BAL,23,1
SirVocea Dennis,444,LB51,TB,26,3
Cole Bishop,445,S27,BUF,23,2
Tyson Campbell,446,CB15,CLE,26,5
Leo Chenal,448,LB52,WAS,25,4
Frankie Luvu,449,LB53,WAS,29,8
Trent McDuffie,450,CB16,LAR,25,4
Yaya Diaby,451,DE26,TB,26,3
Cashius Howell,452,DE27,CIN,23,R
Quinyon Mitchell,453,CB17,PHI,24,2
Keeanu Benton,454,DT16,PIT,24,3
Devin White,455,LB54,FA,28,7
