name,value,rank
Desmond Ridder,4.0,513
Bailey Zappe,4.0,513
Matt Ryan,4.0,513
Nick Westbrook-Ikhine,4.0,513
Brandon Powell,4.0,513
Kylen Granson,4.0,513
Brevin Jordan,4.0,513
Mike Weber,3.0,539
Marquez Callaway,3.0,539
Kenny Golladay,3.0,539
Mason Tipton,3.0,539
Jadon Haselwood,3.0,539
Rondale Moore,3.0,539
Michael Trigg,3.0,539
Tommy Tremble,3.0,539
Zack Kuntz,3.0,539
Adam Trautman,3.0,539
Jalen Wydermyer,3.0,539
Foster Moreau,3.0,539
Jaret Patterson,3.0,539
Rex Burkhead,3.0,539
James Robinson,3.0,539
Melvin Gordon,3.0,539
Salvon Ahmed,3.0,539
Snoop Conner,3.0,539
Jake Funk,3.0,539
Dare Ogunbowale,3.0,539
Kyle Allen,3.0,539
Jaren Hall,3.0,539
Devin Leary,3.0,539
Tim Boyle,3.0,539
Josh Rosen,3.0,539
Deneric Prince,2.0,564
Kene Nwangwu,2.0,564
Travis Homer,2.0,564
Blake Watson,2.0,564
Jamaal Williams,2.0,564
Carson Steele,2.0,564
Chase Edmonds,2.0,564
Jase McClellan,2.0,564
Deuce Vaughn,2.0,564
Jerick McKinnon,2.0,564
Julius Chestnut,2.0,564
Keaontay Ingram,2.0,564
Pierre Strong,2.0,564
Cordarrelle Patterson,2.0,564
Kylin Hill,2.0,564
Clyde Edwards-Helaire,2.0,564
Antonio Gibson,2.0,564
Dillon Johnson,2.0,564
Israel Abanikanda,2.0,564
AJ Dillon,2.0,564
Tyrion Davis-Price,2.0,564
Chris Evans,2.0,564
Kendall Milton,2.0,564
Matt Breida,2.0,564
Kevin Harris,2.0,564
DeeJay Dallas,2.0,564
Dalvin Cook,2.0,564
Evan Hull,2.0,564
Mark Ingram,2.0,564
JaMycal Hasty,2.0,564
Royce Freeman,2.0,564
Isaiah Spiller,2.0,564
Miles Sanders,2.0,564
Phillip Lindsay,2.0,564
Trestan Ebner,2.0,564
DeWayne McBride,2.0,564
Caleb Huntley,2.0,564
Zamir White,2.0,564
Ronnie Rivers,2.0,564
Louis Rees-Zammit,2.0,564
Ainias Smith,2.0,564
Justin Shorter,2.0,564
Albert Okwuegbunam,2.0,564
Robert Tonyan,2.0,564
Jelani Woods,2.0,564
Davis Allen,2.0,564
Shane Zylstra,2.0,564
Hunter Long,2.0,564
Durham Smythe,2.0,564
Brock Wright,2.0,564
John Bates,2.0,564
Anthony Firkser,2.0,564
Drew Sample,2.0,564
Ian Thomas,2.0,564
Taysom Hill,2.0,564
Mo Alie-Cox,2.0,564
Donald Parham,2.0,564
Josh Whyle,2.0,564
Tyler Conklin,2.0,564
Irv Smith,2.0,564
Gerald Everett,2.0,564
Teagan Quitoriano,2.0,564
Trevor Siemian,2.0,564
Kyle Trask,2.0,564
Michael Pratt,2.0,564
Brian Hoyer,2.0,564
