name,originalRank,effectiveRank,derivationMethod,family,normalizedValue,matchedSourceName,position,team
Brian Branch,39,39,direct_combined,DB,5464,Brian Branch,S,DET
Jeffery Simmons,40,40,direct_combined,DL,5393,Jeffery Simmons,DT,TEN
Antoine Winfield Jr.,41,41,direct_combined,DB,5323,Antoine Winfield Jr.,S,TB
Nick Cross,42,42,direct_combined,DB,5256,Nick Cross,S,WAS
Tykee Smith,43,43,direct_combined,DB,5190,Tykee Smith,S,TB
Devin Bush Jr.,44,44,direct_combined,LB,5125,Devin Bush Jr.,LB,CHI
Byron Young,45,45,direct_combined,DL,5062,Byron Young,DE,LAR
Laiatu Latu,46,46,direct_combined,DL,5000,Laiatu Latu,DE,IND
Jessie Bates III,47,47,direct_combined,DB,4940,Jessie Bates III,S,ATL
Sonny Styles,48,48,direct_combined,LB,4880,Sonny Styles,LB,WAS
Tyler Nubin,49,49,direct_combined,DB,4823,Tyler Nubin,S,NYG
Dre Greenlaw,50,50,direct_combined,LB,4766,Dre Greenlaw,LB,SF
DeMarvion Overshown,51,51,direct_combined,LB,4711,DeMarvion Overshown,LB,DAL
T.J. Watt,52,52,direct_combined,LB,4656,T.J. Watt,LB,PIT
Jihaad Campbell,53,53,direct_combined,LB,4603,Jihaad Campbell,LB,PHI
Budda Baker,54,54,direct_combined,DB,4551,Budda Baker,S,ARI
Jared Verse,55,55,direct_combined,DL,4500,Jared Verse,DE,CLE
Terrel Bernard,56,56,direct_combined,LB,4450,Terrel Bernard,LB,BUF
Xavier McKinney,57,57,direct_combined,DB,4402,Xavier McKinney,S,GB
Danielle Hunter,58,58,direct_combined,DL,4354,Danielle Hunter,DE,HOU
George Karlaftis III,59,59,direct_combined,DL,4307,George Karlaftis III,DE,KC
CJ Allen,60,60,direct_combined,LB,4261,CJ Allen,LB,IND
Abdul Carter,61,61,direct_combined,DL,4216,Abdul Carter,DE,NYG
Arvell Reese,62,62,direct_combined,LB,4171,Arvell Reese,LB,NYG
Alex Highsmith,63,63,direct_combined,LB,4128,Alex Highsmith,LB,PIT
Kam Curl,64,64,direct_combined,DB,4085,Kam Curl,S,LAR
Talanoa Hufanga,65,65,direct_combined,DB,4044,Talanoa Hufanga,S,DEN
Tuli Tuipulotu,66,66,direct_combined,DL,4003,Tuli Tuipulotu,DE,LAC
Andrew Van Ginkel,67,67,direct_combined,LB,3962,Andrew Van Ginkel,LB,MIN
Kaden Elliss,68,68,direct_combined,LB,3923,Kaden Elliss,LB,NO
Tyrel Dodson,69,69,direct_combined,LB,3884,Tyrel Dodson,LB,CAR
Barrett Carter,70,70,direct_combined,LB,3846,Barrett Carter,LB,CIN
Divine Deablo,71,71,direct_combined,LB,3809,Divine Deablo,LB,ATL
Josh Sweat,72,72,direct_combined,DL,3772,Josh Sweat,DE,ARI
Demetrius Knight Jr.,73,73,direct_combined,LB,3736,Demetrius Knight Jr.,LB,CIN
DeMarcus Lawrence,74,74,direct_combined,DL,3700,DeMarcus Lawrence,DE,SEA
Greg Rousseau,75,75,direct_combined,DL,3666,Greg Rousseau,DE,BUF
Byron Murphy II,76,76,direct_combined,DL,3631,Byron Murphy II,DT,SEA
Dexter Lawrence II,77,77,direct_combined,DL,3598,Dexter Lawrence II,DT,CIN
Quinnen Williams,78,78,direct_combined,DL,3565,Quinnen Williams,DT,DAL
Rueben Bain Jr.,79,79,direct_combined,DL,3532,Rueben Bain Jr.,DE,TB
Xavier Watts,80,80,direct_combined,DB,3500,Xavier Watts,S,ATL
David Bailey,81,81,direct_combined,DL,3469,David Bailey,DE,NYJ
Leo Chenal,82,82,direct_combined,LB,3438,Leo Chenal,LB,WAS
DeForest Buckner,83,83,direct_combined,DL,3408,DeForest Buckner,DT,IND
Patrick Queen,84,84,direct_combined,LB,3378,Patrick Queen,LB,PIT
Zach Allen,85,85,direct_combined,DL,3348,Zach Allen,DE,DEN
Eric Wilson,86,86,direct_combined,LB,3319,Eric Wilson,LB,MIN
Frankie Luvu,87,87,direct_combined,LB,3291,Frankie Luvu,LB,WAS
Bobby Okereke,88,88,direct_combined,LB,3263,Bobby Okereke,LB,CAR
Caleb Downs,89,89,direct_combined,DB,3235,Caleb Downs,S,DAL
Dillon Thieneman,90,90,direct_combined,DB,3208,Dillon Thieneman,S,CHI
Minkah Fitzpatrick,91,91,direct_combined,DB,3181,Minkah Fitzpatrick,S,NYJ
Jaquan Brisker,92,92,direct_combined,DB,3155,Jaquan Brisker,S,PIT
Jeremy Chinn,93,93,direct_combined,DB,3129,Jeremy Chinn,S,LV
Montez Sweat,94,94,direct_combined,DL,3104,Montez Sweat,DE,CHI
Alex Anzalone,95,95,direct_combined,LB,3079,Alex Anzalone,LB,TB
Tre'von Moehrig,96,96,direct_combined,DB,3054,Tre'von Moehrig,S,CAR
Jack Gibbens,97,97,direct_combined,LB,3030,Jack Gibbens,LB,ARI
Joshua Metellus,98,98,direct_combined,DB,3006,Joshua Metellus,S,MIN
Kevin Byard III,99,99,direct_combined,DB,2982,Kevin Byard III,S,NE
Chase Young,100,100,direct_combined,DL,2959,Chase Young,DE,NO
Calijah Kancey,101,101,direct_combined,DL,2936,Calijah Kancey,DT,TB
Brandon Jones,102,102,direct_combined,DB,2913,Brandon Jones,S,DEN
Quentin Lake,103,103,direct_combined,DB,2891,Quentin Lake,S,LAR
Kobie Turner,104,104,direct_combined,DL,2869,Kobie Turner,DT,LAR
SirVocea Dennis,105,105,direct_combined,LB,2847,SirVocea Dennis,LB,TB
Trey Hendrickson,106,106,direct_combined,DL,2826,Trey Hendrickson,DE,BAL
Drake Thomas,107,107,direct_combined,LB,2804,Drake Thomas,LB,SEA
Kamari Lassiter,108,108,direct_combined,DB,2784,Kamari Lassiter,CB,HOU
Cooper DeJean,109,109,direct_combined,DB,2763,Cooper DeJean,CB,PHI
Alontae Taylor,110,110,direct_combined,DB,2743,Alontae Taylor,CB,TEN
Germaine Pratt,111,111,direct_combined,LB,2723,Germaine Pratt,LB,FA
Riley Moss,112,112,direct_combined,DB,2703,Riley Moss,CB,DEN
Ventrell Miller,113,113,direct_combined,LB,2684,Ventrell Miller,LB,JAC
Jacob Rodriguez,114,114,direct_combined,LB,2665,Jacob Rodriguez,LB,MIA
Teddye Buchanan,115,115,direct_combined,LB,2646,Teddye Buchanan,LB,BAL
Danny Stutsman,116,116,direct_combined,LB,2627,Danny Stutsman,LB,NO
Pete Werner,117,117,direct_combined,LB,2609,Pete Werner,LB,NO
Kevin Winston Jr.,118,118,direct_combined,DB,2591,Kevin Winston Jr.,S,TEN
Devon Witherspoon,119,119,direct_combined,DB,2573,Devon Witherspoon,CB,SEA
Dee Winters,120,120,direct_combined,LB,2555,Dee Winters,LB,DAL
DeShon Elliott,121,121,direct_combined,DB,2538,DeShon Elliott,S,PIT
Jalon Walker,122,122,direct_combined,LB,2520,Jalon Walker,LB,ATL
Cody Simon,123,123,direct_combined,LB,2503,Cody Simon,LB,ARI
Mack Wilson Sr.,124,124,direct_combined,LB,2487,Mack Wilson Sr.,LB,ARI
Josiah Trotter,125,125,direct_combined,LB,2470,Josiah Trotter,LB,TB
Christian Harris,126,126,direct_combined,LB,2454,Christian Harris,LB,ATL
Kaleb Elarms-Orr,127,127,direct_combined,LB,2437,Kaleb Elarms-Orr,LB,BUF
Bobby Wagner,128,128,direct_combined,LB,2421,Bobby Wagner,LB,FA
Josh Hines-Allen,129,129,direct_combined,DL,2406,Josh Hines-Allen,DE,JAC
Chamarri Conner,130,130,direct_combined,DB,2390,Chamarri Conner,S,KC
Dallas Turner,66,131,anchored_from_individual,LB,2375,Dallas Turner,DE,MIN
Will McDonald IV,131,131,direct_combined,DL,2375,Will McDonald IV,DE,NYJ
Dallas Turner,29,132,anchored_from_individual,DL,2359,Dallas Turner,DE,MIN
Julian Love,132,132,direct_combined,DB,2359,Julian Love,S,SEA
Carl Granderson,73,133,anchored_from_individual,LB,2344,Carl Granderson,DE,NO
Jaelan Phillips,32,133,anchored_from_individual,DL,2344,Jaelan Phillips,DE,CAR
Leonard Williams,133,133,direct_combined,DL,2344,Leonard Williams,DT,SEA
Demario Davis,76,134,anchored_from_individual,LB,2329,Demario Davis,LB,NYJ
Jermaine Johnson II,134,134,direct_combined,DL,2329,Jermaine Johnson II,DE,TEN
Jonathan Greenard,36,134,anchored_from_individual,DL,2329,Jonathan Greenard,DE,PHI
Anthony Hill Jr.,135,135,direct_combined,LB,2315,Anthony Hill Jr.,LB,TEN
Harold Landry III,82,136,anchored_from_individual,LB,2300,Harold Landry III,LB,NE
Myles Murphy,136,136,direct_combined,DL,2300,Myles Murphy,DE,CIN
James Pearce Jr.,39,137,anchored_from_individual,DL,2286,James Pearce Jr.,DE,ATL
Malaki Starks,137,137,direct_combined,DB,2286,Malaki Starks,S,BAL
Yaya Diaby,84,137,anchored_from_individual,LB,2286,Yaya Diaby,DE,TB
Jaelan Phillips,86,138,anchored_from_individual,LB,2272,Jaelan Phillips,DE,CAR
Jordan Battle,138,138,direct_combined,DB,2272,Jordan Battle,S,CIN
Jake Golday,139,139,direct_combined,LB,2258,Jake Golday,LB,MIN
Chris Jones,140,140,direct_combined,DL,2244,Chris Jones,DT,KC
Yaya Diaby,41,140,anchored_from_individual,DL,2244,Yaya Diaby,DE,TB
Derrick Brown,141,141,direct_combined,DL,2230,Derrick Brown,DT,CAR
Akeem Davis-Gaither,89,142,anchored_from_individual,LB,2217,Akeem Davis-Gaither,LB,IND
Chop Robinson,43,142,anchored_from_individual,DL,2217,Chop Robinson,DE,MIA
Bradley Chubb,90,144,anchored_from_individual,LB,2190,Bradley Chubb,LB,BUF
Nick Herbig,45,145,anchored_from_individual,DL,2177,Nick Herbig,LB,PIT
Nick Herbig,91,145,anchored_from_individual,LB,2177,Nick Herbig,LB,PIT
Jonathan Greenard,92,146,anchored_from_individual,LB,2164,Jonathan Greenard,DE,PHI
Khalil Mack,93,148,anchored_from_individual,LB,2139,Khalil Mack,LB,LAC
Drue Tranquill,94,150,anchored_from_individual,LB,2114,Drue Tranquill,LB,KC
Devin White,95,151,anchored_from_individual,LB,2102,Devin White,LB,DET
Denzel Perryman,96,152,anchored_from_individual,LB,2089,Denzel Perryman,LB,LAC
Cameron Heyward,51,154,anchored_from_individual,DL,2066,Cameron Heyward,DT,PIT
Christian Elliss,97,154,anchored_from_individual,LB,2066,Christian Elliss,LB,NE
Jonathon Cooper,53,156,anchored_from_individual,DL,2042,Jonathon Cooper,DE,DEN
Uchenna Nwosu,98,156,anchored_from_individual,LB,2042,Uchenna Nwosu,LB,SEA
Rashan Gary,99,157,anchored_from_individual,LB,2031,Rashan Gary,LB,DAL
Harold Landry III,54,158,anchored_from_individual,DL,2019,Harold Landry III,LB,NE
K'Lavon Chaisson,100,158,anchored_from_individual,LB,2019,K'Lavon Chaisson,DE,WAS
Travon Walker,55,159,anchored_from_individual,DL,2008,Travon Walker,DE,JAC
Henry To'oTo'o,101,160,anchored_from_individual,LB,1997,Henry To'oTo'o,LB,HOU
Carl Granderson,56,161,anchored_from_individual,DL,1986,Carl Granderson,DE,NO
Jordan Davis,57,162,anchored_from_individual,DL,1975,Jordan Davis,DT,PHI
Trevin Wallace,102,162,anchored_from_individual,LB,1975,Trevin Wallace,LB,NYJ
Derrick Barnes,103,163,anchored_from_individual,LB,1964,Derrick Barnes,LB,DET
Mykel Williams,58,163,anchored_from_individual,DL,1964,Mykel Williams,DT,SF
Cody Barton,104,164,anchored_from_individual,LB,1954,Cody Barton,LB,TEN
Walter Nolen III,59,165,anchored_from_individual,DL,1943,Walter Nolen III,DT,ARI
Christian Rozeboom,105,166,anchored_from_individual,LB,1933,Christian Rozeboom,LB,TB
Mike Green,60,166,anchored_from_individual,DL,1933,Mike Green,LB,BAL
Malcolm Rodriguez,106,168,anchored_from_individual,LB,1912,Malcolm Rodriguez,LB,DET
Uchenna Nwosu,61,168,anchored_from_individual,DL,1912,Uchenna Nwosu,LB,SEA
Mason Graham,62,169,anchored_from_individual,DL,1902,Mason Graham,DT,CLE
Omar Speights,107,169,anchored_from_individual,LB,1902,Omar Speights,LB,LAR
Cole Bishop,26,170,anchored_from_individual,DB,1892,Cole Bishop,S,BUF
Rashan Gary,63,170,anchored_from_individual,DL,1892,Rashan Gary,LB,DAL
Austin Booker,64,172,anchored_from_individual,DL,1872,Austin Booker,LB,CHI
Bradley Chubb,65,173,anchored_from_individual,DL,1863,Bradley Chubb,LB,BUF
Khalil Mack,66,175,anchored_from_individual,DL,1843,Khalil Mack,LB,LAC
Kayvon Thibodeaux,67,176,anchored_from_individual,DL,1834,Kayvon Thibodeaux,DE,NYG
K'Lavon Chaisson,68,177,anchored_from_individual,DL,1825,K'Lavon Chaisson,DE,WAS
Jalen Redmond,69,179,anchored_from_individual,DL,1806,Jalen Redmond,DE,MIN
Ed Oliver,70,180,anchored_from_individual,DL,1797,Ed Oliver,DT,BUF
Cameron Jordan,71,182,anchored_from_individual,DL,1779,Cameron Jordan,DE,NO
Nolan Smith Jr.,72,183,anchored_from_individual,DL,1770,Nolan Smith Jr.,DE,PHI
Daron Payne,73,184,anchored_from_individual,DL,1761,Daron Payne,DT,WAS
Nnamdi Madubuike,74,186,anchored_from_individual,DL,1744,Nnamdi Madubuike,DT,BAL
Donovan Ezeiruaku,75,187,anchored_from_individual,DL,1736,Donovan Ezeiruaku,DE,DAL
Odafe Oweh,76,189,anchored_from_individual,DL,1719,Odafe Oweh,DE,WAS
Zach Harrison,77,190,anchored_from_individual,DL,1711,Zach Harrison,DE,ATL
Akheem Mesidor,78,191,anchored_from_individual,DL,1702,Akheem Mesidor,DT,LAC
Calais Campbell,79,193,anchored_from_individual,DL,1686,Calais Campbell,DE,BAL
Keeanu Benton,80,194,anchored_from_individual,DL,1678,Keeanu Benton,DT,PIT
Kayden McDonald,81,196,anchored_from_individual,DL,1662,Kayden McDonald,DT,HOU
Jonathan Allen,82,197,anchored_from_individual,DL,1655,Jonathan Allen,DT,CIN
Alex Wright,83,198,anchored_from_individual,DL,1647,Alex Wright,DE,CLE
Dorance Armstrong Jr.,84,200,anchored_from_individual,DL,1632,Dorance Armstrong Jr.,DE,WAS
Al-Quadin Muhammad,85,201,anchored_from_individual,DL,1624,Al-Quadin Muhammad,DE,TB
Dre'Mont Jones,86,203,anchored_from_individual,DL,1609,Dre'Mont Jones,DT,NE
Tyree Wilson,87,204,anchored_from_individual,DL,1602,Tyree Wilson,DE,NO
Jalyx Hunt,88,205,anchored_from_individual,DL,1595,Jalyx Hunt,LB,PHI
Joseph Ossai,89,207,anchored_from_individual,DL,1580,Joseph Ossai,DE,NYJ
Zion Young,90,208,anchored_from_individual,DL,1573,Zion Young,DE,BAL
Jalen Pitre,31,210,anchored_from_individual,DB,1559,Jalen Pitre,S,HOU
Milton Williams,91,210,anchored_from_individual,DL,1559,Milton Williams,DT,NE
Michael Hoecht,92,211,anchored_from_individual,DL,1553,Michael Hoecht,DT,BUF
Gervon Dexter Sr.,93,212,anchored_from_individual,DL,1546,Gervon Dexter Sr.,DT,ATL
A'Shawn Robinson,94,214,anchored_from_individual,DL,1532,A'Shawn Robinson,DT,TB
Devonte Wyatt,95,215,anchored_from_individual,DL,1526,Devonte Wyatt,DT,GB
Brandon Dorlus,96,217,anchored_from_individual,DL,1512,Brandon Dorlus,DT,ATL
Jalen Thompson,32,218,anchored_from_individual,DB,1506,Jalen Thompson,S,DAL
Tommy Togiai,97,218,anchored_from_individual,DL,1506,Tommy Togiai,DT,HOU
Zach Sieler,98,219,anchored_from_individual,DL,1499,Zach Sieler,DT,MIA
Zaven Collins,99,221,anchored_from_individual,DL,1487,Zaven Collins,LB,ARI
Josaiah Stewart,100,222,anchored_from_individual,DL,1480,Josaiah Stewart,DE,LAR
Keldric Faulk,101,224,anchored_from_individual,DL,1468,Keldric Faulk,DE,TEN
Malachi Lawrence,102,225,anchored_from_individual,DL,1462,Malachi Lawrence,DE,DAL
Boye Mafe,103,226,anchored_from_individual,DL,1456,Boye Mafe,DE,CIN
Malachi Moore,33,226,anchored_from_individual,DB,1456,Malachi Moore,CB,NYJ
Kwity Paye,104,228,anchored_from_individual,DL,1444,Kwity Paye,DE,LV
Cam Bynum,35,242,anchored_from_individual,DB,1364,Cam Bynum,S,IND
Kyle Dugger,38,266,anchored_from_individual,DB,1246,Kyle Dugger,S,CIN
Dadrion Taylor-Demerson,39,274,anchored_from_individual,DB,1211,Dadrion Taylor-Demerson,S,ARI
Marcus Jones,40,282,anchored_from_individual,DB,1177,Marcus Jones,CB,NE
Kerby Joseph,42,298,anchored_from_individual,DB,1116,Kerby Joseph,S,DET
Andrew Mukuba,45,322,anchored_from_individual,DB,1034,Andrew Mukuba,S,PHI
Jaylinn Hawkins,46,330,anchored_from_individual,DB,1009,Jaylinn Hawkins,S,BAL
C.J. Gardner-Johnson,47,338,anchored_from_individual,DB,985,C.J. Gardner-Johnson,S,BUF
D'Angelo Ponds,48,346,anchored_from_individual,DB,962,D'Angelo Ponds,CB,NYJ
Dru Phillips,49,354,anchored_from_individual,DB,941,Dru Phillips,CB,NYG
Paulson Adebo,50,362,anchored_from_individual,DB,920,Paulson Adebo,CB,NYG
Kool-Aid McKinstry,51,370,anchored_from_individual,DB,900,Kool-Aid McKinstry,CB,NO
Dante Trader Jr.,52,378,anchored_from_individual,DB,881,Dante Trader Jr.,S,MIA
Mike Sainristil,53,386,anchored_from_individual,DB,863,Mike Sainristil,CB,WAS
Tyson Campbell,54,394,anchored_from_individual,DB,845,Tyson Campbell,CB,CLE
DaRon Bland,55,402,anchored_from_individual,DB,828,DaRon Bland,CB,DAL
Reed Blankenship,56,410,anchored_from_individual,DB,812,Reed Blankenship,S,HOU
Jalen Ramsey,57,418,anchored_from_individual,DB,796,Jalen Ramsey,CB,PIT
AJ Haulcy,58,426,anchored_from_individual,DB,781,AJ Haulcy,S,IND
Grant Delpit,59,434,anchored_from_individual,DB,766,Grant Delpit,S,CLE
Nate Wiggins,60,442,anchored_from_individual,DB,752,Nate Wiggins,CB,BAL
Emmanuel McNeil-Warren,61,450,anchored_from_individual,DB,738,Emmanuel McNeil-Warren,S,CLE
Antonio Johnson,62,458,anchored_from_individual,DB,725,Antonio Johnson,S,JAC
Mike Jackson Sr.,63,466,anchored_from_individual,DB,713,Mike Jackson Sr.,CB,CAR
Jason Pinnock,64,474,anchored_from_individual,DB,700,Jason Pinnock,S,NYG
Kamren Kinchens,65,482,anchored_from_individual,DB,688,Kamren Kinchens,S,LAR
Evan Williams,66,490,anchored_from_individual,DB,677,Evan Williams,S,GB
Zakee Wheatley,67,498,anchored_from_individual,DB,666,Zakee Wheatley,S,CAR
Justin Reid,68,506,anchored_from_individual,DB,655,Justin Reid,S,NO
Jevon Holland,69,514,anchored_from_individual,DB,644,Jevon Holland,S,NYG
Coby Bryant,70,522,anchored_from_individual,DB,634,Coby Bryant,CB,CHI
Javon Bullard,71,530,anchored_from_individual,DB,624,Javon Bullard,S,GB
Kenny Moore II,72,538,anchored_from_individual,DB,615,Kenny Moore II,CB,FA
Jamel Dean,73,546,anchored_from_individual,DB,605,Jamel Dean,CB,PIT
Chris Johnson,74,554,anchored_from_individual,DB,596,Chris Johnson,CB,MIA
Christian Benford,75,562,anchored_from_individual,DB,588,Christian Benford,CB,BUF
D.J. Reed Jr.,76,570,anchored_from_individual,DB,579,D.J. Reed Jr.,CB,DET
Byron Murphy Jr.,77,578,anchored_from_individual,DB,571,Byron Murphy Jr.,CB,MIN
Ja'Quan McMillian,78,586,anchored_from_individual,DB,563,Ja'Quan McMillian,CB,DEN
A.J. Terrell Jr.,79,594,anchored_from_individual,DB,555,A.J. Terrell Jr.,CB,ATL
Alohi Gilman,84,600,anchored_from_individual,DB,549,Alohi Gilman,S,KC
Amani Hooker,103,600,anchored_from_individual,DB,549,Amani Hooker,S,TEN
Brandon Stephens,95,600,anchored_from_individual,DB,549,Brandon Stephens,CB,NYJ
Bryan Cook,104,600,anchored_from_individual,DB,549,Bryan Cook,S,CIN
Bud Clark,97,600,anchored_from_individual,DB,549,Bud Clark,S,SEA
Calen Bullock,81,600,anchored_from_individual,DB,549,Calen Bullock,S,HOU
Carlton Davis III,86,600,anchored_from_individual,DB,549,Carlton Davis III,CB,NE
Darien Porter,87,600,anchored_from_individual,DB,549,Darien Porter,CB,LV
Dax Hill,108,600,anchored_from_individual,DB,549,Dax Hill,S,CIN
Dee Alford,110,600,anchored_from_individual,DB,549,Dee Alford,CB,BUF
Eric Murray,100,600,anchored_from_individual,DB,549,Eric Murray,CB,JAC
Garrett Williams,98,600,anchored_from_individual,DB,549,Garrett Williams,CB,ARI
Isaiah Rodgers Sr.,85,600,anchored_from_individual,DB,549,Isaiah Rodgers Sr.,CB,MIN
Jacob Parrish,92,600,anchored_from_individual,DB,549,Jacob Parrish,CB,TB
James Pierre,80,600,anchored_from_individual,DB,549,James Pierre,CB,MIN
Jaylen Watson,101,600,anchored_from_individual,DB,549,Jaylen Watson,CB,LAR
Joey Porter Jr.,94,600,anchored_from_individual,DB,549,Joey Porter Jr.,CB,PIT
Jonas Sanker,96,600,anchored_from_individual,DB,549,Jonas Sanker,S,NO
Keisean Nixon,91,600,anchored_from_individual,DB,549,Keisean Nixon,CB,GB
Marcus Epps,105,600,anchored_from_individual,DB,549,Marcus Epps,S,PHI
Marlon Humphrey,90,600,anchored_from_individual,DB,549,Marlon Humphrey,CB,BAL
Mike Hughes,109,600,anchored_from_individual,DB,549,Mike Hughes,CB,ATL
Nahshon Wright,82,600,anchored_from_individual,DB,549,Nahshon Wright,CB,NYJ
Nick Scott,89,600,anchored_from_individual,DB,549,Nick Scott,S,CAR
Nohl Williams,99,600,anchored_from_individual,DB,549,Nohl Williams,CB,KC
Renardo Green,102,600,anchored_from_individual,DB,549,Renardo Green,CB,SF
Trent McDuffie,93,600,anchored_from_individual,DB,549,Trent McDuffie,CB,LAR
Trey Amos,83,600,anchored_from_individual,DB,549,Trey Amos,CB,WAS
Tyrique Stevenson Sr.,107,600,anchored_from_individual,DB,549,Tyrique Stevenson Sr.,CB,CHI
Upton Stout,88,600,anchored_from_individual,DB,549,Upton Stout,CB,SF
Will Johnson,106,600,anchored_from_individual,DB,549,Will Johnson,CB,ARI
