name,value
Michael Pittman,3342
Michael Trigg,1757
Michael Wilson,3642
Mike Evans,3274
Mike Gesicki,1950
Mike Washington,2431
Miles Sanders,528
Mitchell Evans,1744
Najee Harris,1861
Nicholas Singleton,2919
Nick Westbrook-Ikhine,944
Nico Collins,5626
Noah Fant,2036
Noah Gray,2201
Olamide Zaccheaus,1270
Ollie Gordon,2393
Omar Cooper,3883
Omarion Hampton,6728
Oronde Gadsden,4410
Oscar Delp,1642
Parker Washington,3522
Pat Bryant,2629
Pat Freiermuth,2882
Patrick Mahomes,6846
Phil Mafah,1228
Puka Nacua,8635
Quentin Johnston,3341
Quinn Ewers,1797
Quinshon Judkins,5435
Rachaad White,2694
Raheim Sanders,1406
Rashee Rice,5319
Rasheen Ali,1171
Rashid Shaheed,2943
Rashod Bateman,2088
Ray Davis,1975
Ray-Ray McCloud,511
Rhamondre Stevenson,2914
Ricky Pearsall,3511
Rico Dowdle,3147
Riley Leonard,1762
RJ Harvey,3487
Roman Wilson,1646
Rome Odunze,5403
Romeo Doubs,3282
Roschon Johnson,1571
Ryan Flournoy,1732
Sam Darnold,4771
Sam Howell,1060
Sam LaPorta,5583
Samaje Perine,582
Saquon Barkley,4877
Savion Williams,1689
Sean Tucker,2192
Seth McGowan,805
Shedeur Sanders,2823
Sione Vaki,992
Skyler Bell,2461
Skyy Moore,967
Spencer Rattler,1662
Stefon Diggs,2164
T.J. Hockenson,3556
Tahj Brooks,1649
Tahj Washington,1527
Tai Felton,1275
Tank Bigsby,2445
Tank Dell,2434
Tanner McKee,1227
Taylen Green,564
Ted Hurst,2042
Tee Higgins,4904
Terrance Ferguson,3416
Terry McLaurin,3453
Tetairoa McMillan,6562
Tez Johnson,2134
Theo Johnson,3024
Tommy Tremble,1934
Tony Pollard,2851
Tory Horton,2649
Travis Etienne,4428
Travis Hunter,3332
Travis Kelce,3113
Trayveon Williams,549
Tre Harris,2771
Tre Tucker,2482
TreVeyon Henderson,5372
Trevor Etienne,2172
Trevor Lawrence,6232
Trey Benson,2302
Trey Lance,1139
Trey McBride,9081
Trey Palmer,1227
Treylon Burks,1582
Troy Franklin,2700
Tua Tagovailoa,2714
Tucker Kraft,5884
Tutu Atwell,1653
Ty Chandler,825
Ty Johnson,1291
Ty Simpson,3714
Tyjae Spears,2678
Tyler Allgeier,2740
Tyler Badie,987
Tyler Goodson,1127
Tyler Higbee,1939
Tyler Huntley,1207
Tyler Johnson,786
Tyler Scott,959
Tyler Shough,4868
Tyler Warren,6932
Tyquan Thornton,1780
Tyreek Hill,2069
Tyrell Shavers,1011
Tyrone Tracy,2606
Tyson Bagent,1494
Van Jefferson,545
Wan'Dale Robinson,3552
Will Howard,2015
Will Levis,1441
Will Shipley,1658
Woody Marks,2898
Xavier Gipson,884
Xavier Hutchinson,1746
Xavier Legette,1954
Xavier Restrepo,1341
Xavier Worthy,3358
Zach Charbonnet,3357
Zach Ertz,1676
Zach Wilson,1031
Zachariah Branch,2644
Zavier Scott,821
Zavion Thomas,1163
Zay Flowers,4655
Zay Jones,511
