name,value,rank
Jalen Tolbert,4.6,284
Evan Engram,4.6,284
Colby Parkinson,4.6,284
Marvin Mims,4.6,284
Ja'Tavion Sanders,4.6,284
Savion Williams,4.5,292
Tyquan Thornton,4.5,292
Jahan Dotson,4.5,292
Tahj Brooks,4.5,292
Brenen Thompson,4.5,292
Trevor Etienne,4.4,297
Xavier Legette,4.4,297
Brashard Smith,4.4,297
Jalen Royals,4.4,297
Ben Sinnott,4.4,297
Garrett Nussmeier,4.4,297
George Holani,4.3,303
Tanner Koziol,4.3,303
Cole Kmet,4.3,303
Jahdae Walker,4.3,303
Treylon Burks,4.2,307
Dawson Knox,4.2,307
Chris Brooks,4.2,307
Kendre Miller,4.1,310
Tez Johnson,4.1,310
Xavier Hutchinson,4.1,310
Mike Gesicki,4.0,313
Noah Gray,3.8,314
Malik Davis,3.8,314
Jarquez Hunter,3.7,316
Roman Wilson,3.7,316
Justice Hill,3.5,318
Jaylin Lane,3.5,318
Luke Musgrave,3.4,320
Matt Hibner,3.2,321
Audric Estime,3.2,321
DeMario Douglas,3.1,323
Joshua Palmer,2.9,324
Will Shipley,2.4,325
Jimmy Horn,1.9,326
Isaac Guerendo,1.9,326
Marquise Brown,1.9,326
Spencer Rattler,1.9,326
KeAndre Lambert-Smith,1.9,326
Devaughn Vele,1.9,326
Jordan Whittington,1.9,326
John Metchie,1.8,333
Jerome Ford,1.8,333
Daniel Bellinger,1.8,333
Devontez Walker,1.8,333
Dyami Brown,1.8,333
Noah Fant,1.8,333
Roschon Johnson,1.8,333
Erick All,1.8,333
Ja'Lynn Polk,1.7,341
Calvin Austin,1.7,341
Cade Stover,1.7,341
Tahj Washington,1.7,341
Jaleel McLaughlin,1.7,341
Damien Martinez,1.7,341
Tyson Bagent,1.6,347
Tai Felton,1.6,347
Tommy Tremble,1.6,347
Phil Mafah,1.6,347
Jalin Hyatt,1.6,347
Seth McGowan,1.6,347
Malachi Corley,1.6,347
Rasheen Ali,1.6,347
Konata Mumpfield,1.6,347
Olamide Zaccheaus,1.5,356
Ty Johnson,1.5,356
Jameis Winston,1.5,356
Emari Demercado,1.5,356
Tanner McKee,1.5,356
Kameron Johnson,1.5,356
Taylen Green,1.4,362
Deion Burks,1.4,362
Kendrick Bourne,1.4,362
Devin Singletary,1.4,362
Raheim Sanders,1.4,362
Jordan Watkins,1.4,362
Davis Mills,1.4,362
Tyler Huntley,1.4,362
Greg Dortch,1.4,362
Gardner Minshew,1.4,362
Najee Harris,1.4,362
Michael Trigg,1.4,362
Xavier Restrepo,1.4,362
Trey Palmer,1.4,362
Luke Schoonmaker,1.3,376
Elijah Moore,1.3,376
Keenan Allen,1.3,376
Mitchell Evans,1.3,376
Elijah Higgins,1.3,376
Donovan Edwards,1.3,376
Kalel Mullings,1.3,376
Cyrus Allen,1.3,376
KaVontae Turpin,1.3,376
Marcus Mariota,1.3,376
Jacob Cowing,1.3,376
Charlie Kolar,1.2,387
Will Levis,1.2,387
Trey Lance,1.1,389
CJ Daniels,1.1,389
Gabe Davis,1.1,389
Isaiah Hodgins,1.1,389
Tyler Goodson,1.1,389
Joe Flacco,1.1,389
Jonathan Mingo,1.1,389
Dameon Pierce,1.1,389
Israel Abanikanda,1.1,389
Nick Westbrook-Ikhine,1.1,389
Kenny McIntosh,1.1,389
