name,value
Tanner McKee,718.0
Taylen Green,320.0
Taysom Hill,858.0
Ted Hurst,286.0
Tee Higgins,56.0
Terrance Ferguson,217.0
Terry McLaurin,116.0
Tetairoa McMillan,35.0
Tez Johnson,462.0
Theo Johnson,306.0
Tip Reiman,844.0
Tommy Tremble,838.0
Tony Pollard,192.0
Tory Horton,310.0
Travis Etienne,118.0
Travis Hunter,136.0
Travis Kelce,194.0
Tre Harris,198.0
Tre Tucker,357.0
TreVeyon Henderson,28.0
Trevor Etienne,498.0
Trevor Lawrence,27.0
Trey Benson,209.0
Trey McBride,13.0
Treylon Burks,748.0
Troy Franklin,250.0
Tua Tagovailoa,124.0
Tucker Kraft,44.0
Tutu Atwell,638.0
Ty Johnson,677.0
Ty Simpson,106.0
Tyjae Spears,189.0
Tyler Allgeier,177.0
Tyler Badie,715.0
Tyler Bass,384.0
Tyler Conklin,852.0
Tyler Higbee,805.0
Tyler Loop,276.0
Tyler Shough,78.0
Tyler Warren,31.0
Tyquan Thornton,675.0
Tyreek Hill,301.0
Tyren Montgomery,773.0
Tyrone Tracy,248.0
Vinny Anthony,725.0
Wan'Dale Robinson,139.0
Wil Lutz,295.0
Will Howard,672.0
Will Kacmarek,868.0
Will Pauling,841.0
Will Reichard,287.0
Will Shipley,481.0
Woody Marks,193.0
Xavier Hutchinson,696.0
Xavier Legette,428.0
Xavier Restrepo,724.0
Xavier Worthy,133.0
Zach Charbonnet,161.0
Zachariah Branch,224.0
Zavion Thomas,780.0
Zay Flowers,57.0
