name,value
Malik Nabers,18.0
Malik Washington,336.0
Malik Willis,86.0
Marcus Mariota,448.0
Mark Andrews,174.0
Marlin Klein,562.0
Marquise Brown,324.0
MarShawn Lloyd,392.0
Marvin Harrison,92.0
Marvin Mims,391.0
Mason Taylor,152.0
Mason Tipton,530.0
Matthew Golden,158.0
Matthew Hibner,577.0
Matthew Stafford,89.0
Max Bredeson,579.0
Max Klare,378.0
Michael Carter,423.0
Michael Mayer,328.0
Michael Penix,98.0
Michael Pittman,125.0
Michael Trigg,386.0
Michael Wilson,182.0
Mike Evans,133.0
Mike Gesicki,418.0
Mike Washington,171.0
Miles Kitselman,586.0
Mitchell Evans,529.0
Mitchell Tinsley,504.0
Najee Harris,409.0
Nate Boerkircher,566.0
Nathaniel Dell,321.0
Nicholas Singleton,250.0
Nick Chubb,440.0
Nick Westbrook-Ikhine,465.0
Nico Collins,26.0
Noah Fant,512.0
Noah Thomas,548.0
Noah Whittington,459.0
Ollie Gordon,301.0
Omar Cooper,104.0
Omarion Hampton,25.0
Oronde Gadsden,78.0
Oscar Delp,539.0
Parker Washington,180.0
Pat Bryant,234.0
Pat Freiermuth,267.0
Patrick Mahomes,11.0
Phil Mafah,426.0
Puka Nacua,8.0
Quentin Johnston,192.0
Quinshon Judkins,50.0
Rachaad White,263.0
Raheim Sanders,466.0
Rahsul Faison,458.0
Rashee Rice,38.0
Rasheen Ali,444.0
Rashid Shaheed,227.0
Rashod Bateman,400.0
Ray Davis,347.0
Reggie Virgil,442.0
Rhamondre Stevenson,167.0
Ricky Pearsall,99.0
Rico Dowdle,235.0
Riley Leonard,483.0
Riley Nowakowski,578.0
RJ Harvey,100.0
RJ Maryland,569.0
Robert Henry,473.0
Roman Hemby,438.0
Roman Wilson,457.0
Rome Odunze,95.0
Romello Brinson,537.0
Romeo Doubs,160.0
Roschon Johnson,454.0
Ryan Fitzgerald,585.0
Ryan Flournoy,381.0
Sam Darnold,84.0
Sam LaPorta,60.0
Sam Roush,468.0
Samaje Perine,456.0
Saquon Barkley,56.0
Savion Williams,416.0
Sawyer Robertson,495.0
Sean Tucker,356.0
Seth McGowan,344.0
Seydou Traore,588.0
Shedeur Sanders,122.0
Skyler Bell,276.0
Spencer Shrader,589.0
Stefon Diggs,241.0
T.J. Hockenson,217.0
Tahj Brooks,414.0
Tai Felton,419.0
Tank Bigsby,340.0
Tanner Koziol,436.0
Tanner McKee,484.0
Taylen Green,455.0
Taysom Hill,573.0
Ted Hurst,277.0
Tee Higgins,53.0
Terrance Ferguson,222.0
Terry McLaurin,111.0
Tetairoa McMillan,35.0
Tez Johnson,379.0
Theo Johnson,294.0
Tip Reiman,559.0
Tommy Tremble,553.0
Tony Pollard,190.0
Tory Horton,297.0
Travis Etienne,114.0
Travis Hunter,131.0
Travis Kelce,201.0
Tre Harris,193.0
Tre Tucker,320.0
TreVeyon Henderson,28.0
Trevor Etienne,393.0
Trevor Lawrence,27.0
Trey Benson,206.0
Trey McBride,13.0
Treylon Burks,499.0
Troy Franklin,254.0
Tua Tagovailoa,119.0
Tucker Kraft,43.0
Tutu Atwell,443.0
Ty Johnson,462.0
Ty Simpson,101.0
Tyjae Spears,188.0
Tyler Allgeier,175.0
Tyler Badie,482.0
Tyler Bass,339.0
Tyler Conklin,567.0
Tyler Higbee,538.0
Tyler Loop,270.0
Tyler Shough,74.0
Tyler Warren,31.0
Tyquan Thornton,467.0
Tyreek Hill,290.0
Tyren Montgomery,517.0
Tyrone Tracy,253.0
Vinny Anthony,489.0
Wan'Dale Robinson,135.0
Wil Lutz,287.0
Will Howard,460.0
Will Kacmarek,582.0
Will Pauling,556.0
Will Reichard,281.0
Will Shipley,389.0
Woody Marks,191.0
Xavier Hutchinson,472.0
Xavier Legette,361.0
Xavier Restrepo,488.0
Xavier Worthy,130.0
Zach Charbonnet,159.0
Zachariah Branch,230.0
Zavion Thomas,523.0
Zay Flowers,55.0
