canonicalName,sourceName,position,team,rank,total_ranked,projection
emmett johnson,Emmett Johnson,RB,,244,250,
troy franklin,Troy Franklin,WR,,245,250,
greg dulcich,Greg Dulcich,TE,,247,250,
aj barner,AJ Barner,TE,,249,250,
kaelon black,Kaelon Black,RB,,250,250,
carson schwesinger,Carson Schwesinger,LB,,1,449,
zack baun,Zack Baun,LB,,2,449,
jordyn brooks,Jordyn Brooks,LB,,3,449,
cedric gray,Cedric Gray,LB,,4,449,
maxx crosby,Maxx Crosby,DL,,5,449,
jack campbell,Jack Campbell,LB,,6,449,
will anderson,Will Anderson Jr.,DL,,7,449,
myles garrett,Myles Garrett,DL,,8,449,
aidan hutchinson,Aidan Hutchinson,DL,,9,449,
payton wilson,Payton Wilson,LB,,10,449,
nik bonitto,Nik Bonitto,DL,,11,449,
jamien sherwood,Jamien Sherwood,LB,,12,449,
andrew van ginkel,Andrew Van Ginkel,DL,,13,449,
brian burns,Brian Burns,DL,,14,449,
fred warner,Fred Warner,LB,,15,449,
edgerrin cooper,Edgerrin Cooper,LB,,16,449,
blake cashman,Blake Cashman,LB,,17,449,
roquan smith,Roquan Smith,LB,,18,449,
antoine winfield,Antoine Winfield Jr.,DB,,19,449,
byron young,Byron Young,DL,,20,449,
foyesade oluokun,Foyesade Oluokun,LB,,21,449,
jeremy chinn,Jeremy Chinn,DB,,22,449,
kyle hamilton,Kyle Hamilton,DB,,23,449,
robert spillane,Robert Spillane,LB,,24,449,
tj edwards,T.J. Edwards,LB,,25,449,
devin lloyd,Devin Lloyd,LB,,26,449,
devon witherspoon,Devon Witherspoon,DB,,27,449,
tykee smith,Tykee Smith,DB,,28,449,
nick cross,Nick Cross,DB,,29,449,
ernest jones,Ernest Jones,LB,,30,449,
tuli tuipulotu,Tuli Tuipulotu,DL,,31,449,
quay walker,Quay Walker,LB,,32,449,
nakobe dean,Nakobe Dean,LB,,33,449,
jeffery simmons,Jeffery Simmons,DL,,34,449,
quentin lake,Quentin Lake,DB,,35,449,
jared verse,Jared Verse,DL,,36,449,
josh hines allen,Josh Hines-Allen,DL,,37,449,
derwin james,Derwin James,DB,,38,449,
nick bosa,Nick Bosa,DL,,39,449,
alex highsmith,Alex Highsmith,DL,,40,449,
bradley chubb,Bradley Chubb,DL,,41,449,
grant delpit,Grant Delpit,DB,,42,449,
nick emmanwori,Nick Emmanwori,DB,,43,449,
cooper dejean,Cooper DeJean,DB,,44,449,
jessie bates,Jessie Bates,DB,,45,449,
devin bush,Devin Bush,LB,,46,449,
budda baker,Budda Baker,DB,,47,449,
trevon moehrig,Trevon Moehrig,DB,,48,449,
deshon elliott,DeShon Elliott,DB,,49,449,
dillon thieneman,Dillon Thieneman,DB,,50,449,
jaelan phillips,Jaelan Phillips,DL,,51,449,
montez sweat,Montez Sweat,DL,,52,449,
daiyan henley,Daiyan Henley,LB,,53,449,
talanoa hufanga,Talanoa Hufanga,DB,,54,449,
kevin byard,Kevin Byard,DB,,55,449,
trey hendrickson,Trey Hendrickson,DL,,56,449,
nick bolton,Nick Bolton,LB,,57,449,
jacob rodriguez,Jacob Rodriguez,LB,,58,449,
julian love,Julian Love,DB,,59,449,
marques sigle,Marques Sigle,DB,,60,449,
yaya diaby,Yaya Diaby,DL,,61,449,
leonard williams,Leonard Williams,DL,,62,449,
kevin winston,Kevin Winston Jr.,DB,,63,449,
Nate Landman,Nathan Landman,LB,,64,449,
Greg Rousseau,Gregory Rousseau,DL,,65,449,
dallas turner,Dallas Turner,DL,,66,449,
danielle hunter,Danielle Hunter,DL,,67,449,
Kam Curl,Kamren Curl,DB,,68,449,
tj watt,T.J. Watt,DL,,69,449,
brandon jones,Brandon Jones,DB,,70,449,
riley moss,Riley Moss,DB,,71,449,
xavier mckinney,Xavier McKinney,DB,,72,449,
minkah fitzpatrick,Minkah Fitzpatrick,DB,,73,449,
tremaine edmunds,Tremaine Edmunds,LB,,74,449,
demarvion overshown,DeMarvion Overshown,LB,,75,449,
chase young,Chase Young,DL,,76,449,
alex singleton,Alex Singleton,LB,,77,449,
joshua metellus,Josh Metellus,DB,,78,449,
justin reid,Justin Reid,DB,,79,449,
jordan battle,Jordan Battle,DB,,80,449,
paulson adebo,Paulson Adebo,DB,,81,449,
abdul carter,Abdul Carter,DL,,82,449,
brian branch,Brian Branch,DB,,83,449,
terrel bernard,Terrel Bernard,LB,,84,449,
chamarri conner,Chamarri Conner,DB,,85,449,
harold landry,Harold Landry,DL,,86,449,
deforest buckner,DeForest Buckner,DL,,87,449,
Dax Hill,Daxton Hill,DB,,88,449,
laiatu latu,Laiatu Latu,DL,,89,449,
quinnen williams,Quinnen Williams,DL,,90,449,
alontae taylor,Alontae Taylor,DB,,91,449,
jalen pitre,Jalen Pitre,DB,,92,449,
evan williams,Evan Williams,DB,,93,449,
kobie turner,Kobie Turner,DL,,94,449,
lukas van ness,Lukas Van Ness,DL,,95,449,
josh sweat,Josh Sweat,DL,,96,449,
daron bland,DaRon Bland,DB,,97,449,
reed blankenship,Reed Blankenship,DB,,98,449,
alohi gilman,Alohi Gilman,DB,,99,449,
treydan stukes,Treydan Stukes,DB,,100,449,
jalen carter,Jalen Carter,DL,,101,449,
derrick brown,Derrick Brown,DL,,102,449,
caleb downs,Caleb Downs,DB,,103,449,
trent mcduffie,Trent McDuffie,DB,,104,449,
tyler nubin,Tyler Nubin,DB,,105,449,
jalen redmond,Jalen Redmond,DL,,106,449,
george karlaftis,George Karlaftis,DL,,107,449,
jermaine johnson,Jermaine Johnson,DL,,108,449,
zach sieler,Zach Sieler,DL,,109,449,
carl granderson,Carl Granderson,DL,,110,449,
eric wilson,Eric Wilson,LB,,111,449,
kamari lassiter,Kamari Lassiter,DB,,112,449,
amani hooker,Amani Hooker,DB,,113,449,
travon walker,Travon Walker,DL,,114,449,
jonathan greenard,Jonathan Greenard,DL,,115,449,
jalen thompson,Jalen Thompson,DB,,116,449,
aj haulcy,A.J. Haulcy,DB,,117,449,
cole bishop,Cole Bishop,DB,,118,449,
jalen ramsey,Jalen Ramsey,DB,,119,449,
jihaad campbell,Jihaad Campbell,LB,,120,449,
xavier watts,Xavier Watts,DB,,121,449,
michael taaffe,Michael Taaffe,DB,,122,449,
dane belton,Dane Belton,DB,,123,449,
jeremy reaves,Jeremy Reaves,DB,,124,449,
nick herbig,Nick Herbig,DL,,125,449,
kaden elliss,Kaden Elliss,LB,,126,449,
demario davis,Demario Davis,LB,,127,449,
dj reed,D.J. Reed,DB,,128,449,
kamren kinchens,Kamren Kinchens,DB,,129,449,
marlon humphrey,Marlon Humphrey,DB,,130,449,
rashan gary,Rashan Gary,DL,,131,449,
ventrell miller,Ventrell Miller,LB,,132,449,
dante trader,Dante Trader Jr.,DB,,133,449,
taron johnson,Taron Johnson,DB,,134,449,
tyson campbell,Tyson Campbell,DB,,135,449,
zyon mccollum,Zyon McCollum,DB,,136,449,
jalyx hunt,Jalyx Hunt,DL,,137,449,
ed oliver,Ed Oliver,DL,,138,449,
CJ Gardner Johnson,Chauncey Gardner-Johnson,DB,,139,449,
mike sainristil,Mike Sainristil,DB,,140,449,
jaquan brisker,Jaquan Brisker,DB,,141,449,
keisean nixon,Keisean Nixon,DB,,142,449,
renardo green,Renardo Green,DB,,143,449,
charvarius ward,Charvarius Ward,DB,,144,449,
bryan cook,Bryan Cook,DB,,145,449,
odafe oweh,Odafe Oweh,DL,,146,449,
andrew wingard,Andrew Wingard,DB,,147,449,
dre greenlaw,Dre Greenlaw,LB,,148,449,
micah parsons,Micah Parsons,DL,,149,449,
byron murphy,Byron Murphy II,DL,,150,449,
dremont jones,Dre'mont Jones,DL,,151,449,
mike jackson,Michael Jackson,DB,,152,449,
marcus jones,Marcus Jones,DB,,153,449,
christian gonzalez,Christian Gonzalez,DB,,154,449,
montaric brown,Montaric Brown,DB,,155,449,
barrett carter,Barrett Carter,LB,,156,449,
patrick queen,Patrick Queen,LB,,157,449,
cameron heyward,Cameron Heyward,DL,,158,449,
ty okada,Ty Okada,DB,,159,449,
nick scott,Nick Scott,DB,,160,449,
